Date de creation;Type;Categorie;Equipe;Produit;Ligne;Defaut;Qte defaut;Phase d'origine;Phase de detection
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;NF08 Piste tordue;1;110 poste de contrôle final Flex 2 C A;110 poste de contrôle final Flex 2 C A
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;NF11 Lame déformée;7;30 Insertion lame/balai sur boitier_Flex 2 P A;110 poste de contrôle final Flex 2 C A
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;N55 Mauvaise  marquage;15;90 Test électrique Flex 2 C A;110 poste de contrôle final Flex 2 C A
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;N56 Soudure self éclaté;7;60 soudure électrique self / shunt  sur lame Flex2 C A;70 MEP condo  + Retournement boitier C A
06/03/2025;Scrap;Formation;Nuit;10 VW000054852 PPC FLEX;Flex2;NF12 Mauvais bouterollage lame balai /boitier;27;40 Sertissage lamme boitier et boutrollage Flex-2 C A;50 Mise en place self / shunt Flex-2 C A
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;NF14 Soudure collage;1;60 soudure électrique self / shunt  sur lame Flex2 C A;110 poste de contrôle final Flex 2 C A
06/03/2025;Scrap;Process;Nuit;10 VW000054852 PPC FLEX;Flex2;NF18 Double marquage;2;90 Test électrique Flex 2 C A;90 Test électrique Flex 2 C A
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;N56 Soudure self éclaté;2;60 soudure électrique self / shunt  sur lame Flex2 C A;60 soudure électrique self / shunt  sur lame Flex2 C A
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;NF11 Lame déformée;2;30 Insertion lame/balai sur boitier_Flex 2 P A;110-B Controle finale Flex 2 partie B C A
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;NF13 Soudure self  écrasée;3;60 soudure électrique self / shunt  sur lame Flex2 C A;70 MEP condo  + PTH + Retournement boitier Flex 2 C 
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;NF12 Mauvais bouterollage lame balai /boitier;9;40 Sertissage lamme boitier et boutrollage Flex-2 C A;42 Mise en place condo axial-Flex2 C 
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;NF19 Patte de masse déformée;3;29 Chargement et déchargement boitier sur palette_Flex 2 P A;110-B Controle finale Flex 2 partie B C A
06/03/2025;Scrap;Process;Matin;20 VW000037397 PPC FLEX 2;Flex2;NF25 Boîtier cassé;2;47 Controle soudure condo axiale et boutrollage C A;110-B Controle finale Flex 2 partie B C A
06/03/2025;Scrap;Process;Matin;0010 VW000037397SLP PPC FLEX 1;Flex1;NF12 Mauvais bouterollage lame balai;2;40 Bouterollage lame balai sur boitier C A;110_B Controle finale partie B C A
06/03/2025;Scrap;Process;Matin;0010 VW000037397SLP PPC FLEX 1;Flex1;NF35 Languette tordue;3;29 Chargement - déchargement boitiersur palette P A;110_B Controle finale partie B C A
06/03/2025;Scrap;Process;Matin;0010 VW000037397SLP PPC FLEX 1;Flex1;NF13 Soudure self  écrasée;4;60 soudure électrique self sur lame C A;70 MEP condo  + Retournement boitier C A
06/03/2025;Scrap;Process;Matin;0010 VW000037397SLP PPC FLEX 1;Flex1;NF25 Boîtier cassé;1;29 Chargement - déchargement boitiersur palette P A;110_B Controle finale partie B C A
06/03/2025;Scrap;Process;Matin;0010 VW000037397SLP PPC FLEX 1;Flex1;NF48 Marquage décalé;1;90 Test électrique C A;90 Test électrique C A
