Date de création	Type	Catégorie	Équipe	Produit	Ligne	Famille	Défaut	Qte défaut	Phase d'origine	Phase de détection
2025-03-16	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Marquage décalé	3	Chargement - déchargement boitiersur palette	Test électrique
2025-03-16	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	2	soudure électrique self sur lame	MEP condo  + Retournement boitier
2025-03-16	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Lame déformée	4	Test électrique	Controle finale partie A ligne F1
2025-03-16	Scrap	reglage	Matin	ligne 2	Preparation CM4	CM4	Boitier endommagée	3	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-17	Scrap	reglage	Matin	B8	B8	B8	soudure self écrasé	4	soudure self N°2	soudure self N°2
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Mauvais bouterollage lame balai	4	Sertissage lamme boitier et boutrollage	Mise en place condo axial
2025-03-17	Scrap	process	Matin	SIM II	sim 2	SIM	boitier cassé	9	insertion rotule	insertion rotule
2025-03-16	Scrap	reglage	Matin	PPC First plastique	F.P	FIRST PLASTIQUE	Platine cassé	1	Soudure à l'étain F.P	Controle partie A FP
2025-03-16	Scrap	reglage	Matin	PPC First plastique	F.P	FIRST PLASTIQUE	muret cassée	1	Verrouillage self / tresse	Déchargement palette
2025-03-16	Scrap	process	Matin	PPC First plastique	F.P	FIRST PLASTIQUE	Self déformée	27	Verrouillage self / tresse	Déchargement palette
2025-03-16	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (2) endommagé	10	soudure fourchette /ICH/ resistance/ condo	controle aspect soudure
2025-03-16	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (3) endommagé	1	soudure fourchette /ICHall/ resistance	controle aspect soudure
2025-03-16	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Fourchette (1) endommagé	2	controle aspect soudure	controle aspect soudure
2025-03-16	Scrap	process	Matin	CM4-Ligne 2	CM3-CM4 Ligne 2	CM4	Mauvaise soudure self/PTH	3	soudure self PTH	controle aspect soudure
2025-03-16	Scrap	defaut	Matin	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	18	soudure self tresse	controle préparation
2025-03-16	Scrap	defaut	Matin	ligne 2	Preparation CM4	CM4	Mauvaise soudure self tresse	14	soudure self tresse	montage self/balais sur boitier
2025-03-16	Scrap	reglage	Matin	ligne 2	Preparation CM4	CM4	Contact endommagé	7	sertissage automatique de 2 inserts+patte de masse	retournement
2025-03-17	Scrap	reglage	Matin	VM4 Tower	VM4 Partie A	VM4	Tour brûlée	5	robot  de brasage	robot  de brasage
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Soudure self  écrasée	4	soudure électrique self sur lame	Controle finale partie B
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai mal serti	96	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Faux défaut	112	Test électrique	Test électrique
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai mal serti	27	Insertion lame/balai sur boitier	Controle finale partie B
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Balai cassé	26	Assemblage balai / Lame ressort	Assemblage balai / Lame ressort
2025-03-17	Scrap	process	Matin	ligne 2	Preparation CM4	CM4	Balai cassé	62	montage self/balais sur boitier	controle préparation
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Languette tordue	1	Chargement - déchargement boitiersur palette	Soudure à l'étain
2025-03-17	Scrap	process	Matin	ligne 2	Preparation CM4	CM4	Pin mal plaquée	440	sertissage de 2 contacts +fourchette	controle préparation
2025-03-17	Scrap	process	Matin	ligne 2	Preparation CM4	CM4	Boitier endommagée	17	sertissage de 2 contacts +fourchette	controle préparation
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Marquage décalé	1	Test électrique	Test électrique
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Patte de masse déformée	1	Chargement - déchargement boitiersur palette	Controle finale partie B
2025-03-17	Scrap	process	Matin	PPC FLEX 1	Flex1	FLEX	Lame déformée	1	Test électrique	Controle finale partie B
2025-03-17	Scrap	reglage	Matin	B8	B8	B8	connecteur mal plaqué	2	soudure connecteur sur platine	soudure connecteur sur platine
2025-03-17	Scrap	reglage	Matin	PPC_F.P	F.P	FIRST PLASTIQUE	muret cassée	2	Poste d'enfonçage ressort et coulissement balai	Poste d'enfonçage ressort et coulissement balai
